"Protein Group","Top","Accession","Significance","Coverage (%)","#Peptides","#Unique","PTM","HC1 Area","HC2 Area","HC3 Area","CHB1 Area","CHB2 Area","CHB3 Area","LC1 Area","LC2 Area","LC3 Area","HCC1 Area","HCC2 Area","HCC3 Area","Sample Profile (Ratio)","HC Area","CHB Area","LC Area","HCC Area","Group Profile (Ratio)","Avg. Mass","Description"
35,true,"P0DOX6|IGM_HUMAN",31.66,4.86,61,5,"Carbamidomethylation",7824.3105,7385.4062,6870.5864,3142.7002,3916.848,2923.353,6727.65,3692.086,6205.2056,2672.923,2561.8228,2949.1453,1.65:1.56:1.45:0.66:0.83:0.62:1.42:0.78:1.31:0.56:0.54:0.62,7360.101,3327.6338,5541.647,2727.9636,1.55:0.70:1.17:0.58,63486,"Immunoglobulin mu heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2"
1734,true,"A0A1B0GUU1|CQ113_HUMAN",6.24,1.48,1,1,"Carbamidomethylation",149425.42,104705.336,36232.938,32256.598,4826.2144,16706.828,89844.016,65877.34,34478.473,59548.734,47045.28,1875.2249,2.79:1.95:0.68:0.60:0.09:0.31:1.68:1.23:0.64:1.11:0.88:0.04,96787.9,17929.88,63399.945,36156.414,1.81:0.33:1.18:0.67,72432,"Transmembrane protein C17orf113 OS=Homo sapiens OX=9606 GN=C17orf113 PE=3 SV=1"
154,true,"P01700|LV147_HUMAN",11.07,35.90,18,4,"Carbamidomethylation",2790.8125,34192.03,33443.76,18104.932,65590.164,74534.58,73766.63,108255.97,86177.23,115166.35,119207.66,73414.336,0.04:0.51:0.50:0.27:0.98:1.11:1.10:1.61:1.29:1.72:1.78:1.09,23868.863,53195.914,89399.94,102596.12,0.35:0.79:1.33:1.53,12284,"Immunoglobulin lambda variable 1-47 OS=Homo sapiens OX=9606 GN=IGLV1-47 PE=1 SV=2"
581,true,"P10599|THIO_HUMAN",12.58,12.38,1,1,"",3832.7236,3105.8145,3323.7207,0.0,0.0,1189.9119,0.0,707.80133,0.0,604.78125,2836.42,4130.7954,2.33:1.89:2.02:0.00:0.00:0.72:0.00:0.43:0.00:0.37:1.72:2.51,3420.753,1189.9119,707.80133,2523.9988,1.74:0.61:0.36:1.29,11737,"Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3"
1881,true,"Q9UHI6|DDX20_HUMAN",26.60,1.21,1,1,"Carbamidomethylation",9233.602,12204.529,12244.001,11502.251,6758.5864,8662.065,2965.3008,3792.4177,1294.5736,5845.1865,7145.292,5958.37,1.26:1.67:1.68:1.58:0.93:1.19:0.41:0.52:0.18:0.80:0.98:0.82,11227.377,8974.301,2684.0974,6316.2827,1.54:1.23:0.37:0.87,92241,"Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2"
356,true,"P27487|DPP4_HUMAN",6.60,1.44,1,1,"",13750.423,12101.696,611.2771,334.77396,3030.948,917.45746,516.5195,1112.0933,490.47482,944.8195,2075.1772,1568.3444,4.41:3.88:0.20:0.11:0.97:0.29:0.17:0.36:0.16:0.30:0.66:0.50,8821.132,1427.7264,706.36255,1529.447,2.83:0.46:0.23:0.49,88279,"Dipeptidyl peptidase 4 OS=Homo sapiens OX=9606 GN=DPP4 PE=1 SV=2"
106,true,"A0A0C4DH72|KV106_HUMAN",21.27,15.38,22,1,"",72880.97,74327.53,77872.63,71242.4,66371.35,77959.04,97352.26,116991.2,96467.08,45915.2,75747.47,51127.52,0.95:0.97:1.01:0.92:0.86:1.01:1.26:1.52:1.25:0.60:0.98:0.66,75027.05,71857.59,103603.516,57596.73,0.97:0.93:1.35:0.75,12697,"Immunoglobulin kappa variable 1-6 OS=Homo sapiens OX=9606 GN=IGKV1-6 PE=3 SV=1"
21,true,"P00738|HPT_HUMAN",41.04,57.14,113,70,"Carbamidomethylation; Oxidation (M)",3027076.8,3241557.5,3378407.2,3346259.0,3826942.2,4018631.0,2352476.8,2263227.8,2202393.5,3394604.0,3592210.5,3171638.5,0.96:1.03:1.07:1.06:1.21:1.28:0.75:0.72:0.70:1.08:1.14:1.01,3215680.5,3730611.0,2272699.5,3386151.0,1.02:1.18:0.72:1.07,45205,"Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1"
558,true,"Q15652|JHD2C_HUMAN",31.98,0.67,1,1,"",395.86966,797.93945,902.24615,1332.0927,1113.8896,1591.9464,2246.0056,2649.447,2567.8752,753.9376,769.5706,596.83246,0.30:0.61:0.69:1.02:0.85:1.22:1.71:2.02:1.96:0.58:0.59:0.46,698.68506,1345.9762,2487.776,706.7802,0.53:1.03:1.90:0.54,284525,"Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens OX=9606 GN=JMJD1C PE=1 SV=2"
2061,true,"Q99570|PI3R4_HUMAN",11.68,0.52,1,1,"Carbamidomethylation",366.1064,475.8228,0.0,0.0,901.99866,767.02094,639.9553,918.3664,1125.3396,781.38837,551.07587,0.0,0.67:0.87:0.00:0.00:1.66:1.41:1.18:1.69:2.07:1.44:1.01:0.00,420.9646,834.50977,894.5538,666.2321,0.60:1.19:1.27:0.95,153103,"Phosphoinositide 3-kinase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PIK3R4 PE=1 SV=3"
31,true,"P19827|ITIH1_HUMAN",40.98,51.81,55,55,"Carbamidomethylation; Oxidation (M)",389295.0,375249.12,475581.5,320955.0,279814.06,260220.56,215776.69,190456.9,192272.5,316295.28,324177.88,342612.62,1.27:1.22:1.55:1.05:0.91:0.85:0.70:0.62:0.63:1.03:1.06:1.12,414451.94,286996.53,199502.02,327695.25,1.35:0.93:0.65:1.07,101389,"Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3"
1914,true,"Q8TED9|AF1L1_HUMAN",13.65,1.56,1,1,"",3830.7874,3265.6501,1646.374,978.3197,1123.6519,718.5516,635.98047,1197.5144,591.69385,775.6258,3302.3677,2030.9583,2.29:1.95:0.98:0.58:0.67:0.43:0.38:0.72:0.35:0.46:1.97:1.21,2914.2705,940.1744,808.39624,2036.3173,1.74:0.56:0.48:1.22,86432,"Actin filament-associated protein 1-like 1 OS=Homo sapiens OX=9606 GN=AFAP1L1 PE=1 SV=2"
70,true,"Q96PD5|PGRP2_HUMAN",14.92,57.64,34,34,"Carbamidomethylation",77819.02,74048.89,71333.89,59231.52,67588.19,72649.53,59217.25,57989.027,54155.125,56664.254,69380.0,69659.1,1.18:1.13:1.08:0.90:1.03:1.10:0.90:0.88:0.82:0.86:1.05:1.06,74400.6,66489.75,57120.465,65875.54,1.13:1.01:0.87:1.00,62217,"N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1"
1910,true,"Q9UKL3|C8AP2_HUMAN",0.05,0.35,1,1,"",9330.081,0.0,0.0,391.23032,0.0,0.0,15028.178,0.0,0.0,12390.534,0.0,0.0,3.01:0.00:0.00:0.13:0.00:0.00:4.86:0.00:0.00:4.00:0.00:0.00,9330.081,391.23032,15028.178,12390.534,1.00:0.04:1.62:1.33,222658,"CASP8-associated protein 2 OS=Homo sapiens OX=9606 GN=CASP8AP2 PE=1 SV=1"
350,false,"Q9BYE2|TMPSD_HUMAN",3.85,1.37,2,1,"",172980.53,820068.3,913213.8,186769.25,1214069.0,1187310.5,502646.03,1284229.0,1441591.2,885133.6,1776126.0,2201054.0,0.16:0.78:0.87:0.18:1.16:1.13:0.48:1.22:1.37:0.84:1.69:2.10,635420.9,862716.25,1076155.4,1620771.2,0.61:0.82:1.03:1.55,63167,"Transmembrane protease serine 13 OS=Homo sapiens OX=9606 GN=TMPRSS13 PE=2 SV=5"
691,true,"Q7Z4N2|TRPM1_HUMAN",8.96,0.50,1,1,"Oxidation (M)",44064.67,72650.414,54381.84,40933.38,30105.023,14232.305,61997.18,6824.1655,2520.0679,25403.496,3172.5474,2281.4675,1.47:2.43:1.82:1.37:1.01:0.48:2.07:0.23:0.08:0.85:0.11:0.08,57032.31,28423.568,23780.47,10285.837,1.91:0.95:0.80:0.34,182178,"Transient receptor potential cation channel subfamily M member 1 OS=Homo sapiens OX=9606 GN=TRPM1 PE=1 SV=2"
1187,true,"Q9UL36|ZN236_HUMAN",46.17,0.49,1,1,"",2944.278,5357.576,6966.7427,23313.668,24089.168,28798.777,69301.66,50028.66,66785.54,2998.0388,6520.8047,6155.411,0.12:0.22:0.29:0.95:0.99:1.18:2.84:2.05:2.73:0.12:0.27:0.25,5089.532,25400.537,62038.617,5224.7515,0.21:1.04:2.54:0.21,203704,"Zinc finger protein 236 OS=Homo sapiens OX=9606 GN=ZNF236 PE=1 SV=2"
1901,true,"Q969X2|SIA7F_HUMAN",26.75,3.00,1,1,"",14041.548,15800.793,10582.69,11268.951,13597.912,13026.841,20631.297,33529.906,26022.03,22284.97,20732.3,18841.059,0.76:0.86:0.58:0.61:0.74:0.71:1.12:1.83:1.42:1.21:1.13:1.03,13475.011,12631.234,26727.744,20619.443,0.73:0.69:1.46:1.12,38068,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 OS=Homo sapiens OX=9606 GN=ST6GALNAC6 PE=1 SV=1"
390,false,"Q05639|EF1A2_HUMAN",11.70,6.26,1,1,"Carbamidomethylation",366.98795,95310.97,11998.855,1995.2673,2492.21,2645.4255,1322.0958,1071.0782,0.0,958.51514,0.0,0.0,0.04:9.68:1.22:0.20:0.25:0.27:0.13:0.11:0.00:0.10:0.00:0.00,35892.27,2377.6343,1196.587,958.51514,3.55:0.24:0.12:0.09,50470,"Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1"
261,true,"P08571|CD14_HUMAN",3.91,26.67,8,8,"Carbamidomethylation",7644.209,7426.3374,8527.969,11535.919,8925.273,5007.292,16982.533,11116.406,8485.031,11724.1875,10888.891,7125.2993,0.79:0.77:0.89:1.20:0.93:0.52:1.77:1.16:0.88:1.22:1.13:0.74,7866.172,8489.495,12194.656,9912.793,0.82:0.88:1.27:1.03,40076,"Monocyte differentiation antigen CD14 OS=Homo sapiens OX=9606 GN=CD14 PE=1 SV=2"
1622,true,"B2RD01|CENP1_HUMAN",0.98,4.81,1,1,"",6157.8306,6595.0127,6661.9395,6605.784,7622.8735,8058.3765,8124.385,6798.9233,8062.6016,4624.809,10085.197,8532.613,0.84:0.90:0.91:0.90:1.04:1.10:1.11:0.93:1.10:0.63:1.38:1.16,6471.594,7429.011,7661.9697,7747.54,0.88:1.01:1.05:1.06,21052,"Putative CENPB DNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CENPBD1P PE=5 SV=1"
907,true,"Q96JG6|VPS50_HUMAN",4.40,1.35,1,1,"",306694.72,109356.695,24999.283,86411.51,66885.69,130397.54,74920.11,59770.547,45461.117,18080.643,94832.71,16214.9375,3.56:1.27:0.29:1.00:0.78:1.51:0.87:0.69:0.53:0.21:1.10:0.19,147016.9,94564.914,60050.59,43042.766,1.71:1.10:0.70:0.50,111174,"Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3"
2144,true,"Q9NZN5|ARHGC_HUMAN",6.71,0.52,1,1,"",2049.0098,6453.4683,6100.132,1412.6542,1180.7927,1139.9065,12799.306,0.0,689.6369,1189.6221,759.5022,1012.6877,0.71:2.23:2.10:0.49:0.41:0.39:4.42:0.00:0.24:0.41:0.26:0.35,4867.5366,1244.4512,6744.471,987.2706,1.41:0.36:1.95:0.29,173232,"Rho guanine nucleotide exchange factor 12 OS=Homo sapiens OX=9606 GN=ARHGEF12 PE=1 SV=1"
201,true,"P01767|HV353_HUMAN",17.93,12.07,9,1,"",1777.9166,1705.1427,1450.7491,1390.6986,597.86725,829.59296,898.04205,600.20123,701.54846,674.1843,623.1125,0.0,1.90:1.82:1.55:1.48:0.64:0.88:0.96:0.64:0.75:0.72:0.66:0.00,1644.6028,939.3863,733.2639,648.64844,1.66:0.95:0.74:0.65,12770,"Immunoglobulin heavy variable 3-53 OS=Homo sapiens OX=9606 GN=IGHV3-53 PE=1 SV=2"
351,true,"Q15113|PCOC1_HUMAN",66.55,7.13,2,2,"",1307.003,3998.7805,642.6545,2129.6885,1211.5894,783.7631,2608.007,4488.4463,4156.2837,4809298.0,4572765.5,3737161.2,0.02:0.02:0.02:0.02:0.02:0.02:0.02:0.02:0.02:4.39:4.18:3.41,1982.8127,1375.0137,3750.9124,4373075.0,0.02:0.02:0.02:3.99,47972,"Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens OX=9606 GN=PCOLCE PE=1 SV=2"
166,true,"P06276|CHLE_HUMAN",25.51,14.95,9,9,"",11592.553,14177.461,12282.772,13003.486,10613.608,10797.659,8477.225,5060.409,5384.616,8376.792,6209.808,5910.493,1.24:1.52:1.32:1.39:1.14:1.16:0.91:0.54:0.58:0.90:0.67:0.63,12684.262,11471.585,6307.4165,6832.3647,1.36:1.23:0.68:0.73,68418,"Cholinesterase OS=Homo sapiens OX=9606 GN=BCHE PE=1 SV=1"
403,true,"P60174|TPIS_HUMAN",1.86,11.65,1,1,"",8348.807,1525.0626,0.0,21233.846,3924.998,15299.894,1305.2533,15360.927,9507.944,1332.1365,20070.678,888.7312,1.01:0.19:0.00:2.58:0.48:1.86:0.16:1.87:1.15:0.16:2.44:0.11,4936.9346,13486.246,8724.708,7430.515,0.57:1.56:1.01:0.86,26669,"Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4"
528,true,"P24593|IBP5_HUMAN",11.68,3.68,1,1,"",514.56915,0.0,1386.1459,3734.027,2886.5479,3494.3318,1233.8246,0.0,0.0,679.55115,919.3217,785.12885,0.39:0.00:1.06:2.87:2.22:2.68:0.95:0.00:0.00:0.52:0.71:0.60,950.35754,3371.6355,1233.8246,794.66724,0.60:2.12:0.78:0.50,30570,"Insulin-like growth factor-binding protein 5 OS=Homo sapiens OX=9606 GN=IGFBP5 PE=1 SV=1"
17,true,"P01031|CO5_HUMAN",25.18,58.47,109,108,"Carbamidomethylation",114254.266,102557.25,102692.94,75333.766,91420.81,88606.805,43796.883,52869.844,60971.25,61077.68,95114.42,84315.93,1.41:1.26:1.27:0.93:1.13:1.09:0.54:0.65:0.75:0.75:1.17:1.04,106501.484,85120.46,52545.992,80169.34,1.31:1.05:0.65:0.99,188305,"Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4"
1707,true,"Q5VZL5|ZMYM4_HUMAN",0.35,0.71,1,1,"",3104.5442,628.20715,629.59595,1364.3759,1375.7738,1086.4154,1058.817,1341.2446,1263.9575,738.8023,0.0,3491.8987,2.32:0.47:0.47:1.02:1.03:0.81:0.79:1.00:0.94:0.55:0.00:2.61,1454.1157,1275.5217,1221.3397,2115.3506,0.96:0.84:0.81:1.39,172788,"Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1"
1710,true,"Q969P0|IGSF8_HUMAN",20.61,1.63,1,1,"Carbamidomethylation",579.5823,1575.5264,3065.0774,6122.734,5611.2173,5056.057,5278.1235,6317.363,4108.939,8230.869,6997.908,5869.025,0.12:0.32:0.63:1.25:1.14:1.03:1.08:1.29:0.84:1.68:1.43:1.20,1740.062,5596.6694,5234.8086,7032.6006,0.36:1.14:1.07:1.43,65034,"Immunoglobulin superfamily member 8 OS=Homo sapiens OX=9606 GN=IGSF8 PE=1 SV=1"
909,true,"P13611|CSPG2_HUMAN",30.11,0.44,1,1,"",5794.275,8207.1,5399.2124,8373.688,9538.393,9797.027,9361.462,9576.022,9068.447,4700.487,4532.337,5641.657,0.77:1.09:0.72:1.12:1.27:1.31:1.25:1.28:1.21:0.63:0.60:0.75,6466.8623,9236.369,9335.311,4958.16,0.86:1.23:1.24:0.66,372820,"Versican core protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=3"
1293,true,"O14965|AURKA_HUMAN",29.77,2.23,1,1,"",7993.472,5736.1743,8062.876,1548.1932,3198.0078,3086.1672,6906.6216,5168.5767,6996.0425,8421.855,8288.044,9226.727,1.29:0.92:1.30:0.25:0.51:0.50:1.11:0.83:1.12:1.35:1.33:1.48,7264.1743,2610.7896,6357.08,8645.542,1.17:0.42:1.02:1.39,45823,"Aurora kinase A OS=Homo sapiens OX=9606 GN=AURKA PE=1 SV=3"
366,true,"P08637|FCG3A_HUMAN",15.24,9.84,4,2,"",1161.0509,2249.661,1581.194,1234.191,1599.5203,2070.2432,3714.695,2940.9048,3288.3657,1441.2065,2237.548,2516.1067,0.54:1.04:0.73:0.57:0.74:0.95:1.71:1.36:1.52:0.66:1.03:1.16,1663.9686,1634.6515,3314.6553,2064.9539,0.77:0.75:1.53:0.95,29089,"Low affinity immunoglobulin gamma Fc region receptor III-A OS=Homo sapiens OX=9606 GN=FCGR3A PE=1 SV=2"
1579,true,"O95084|PRS23_HUMAN",18.76,2.87,1,1,"",1008.2911,738.7976,913.8681,1131.4688,898.67914,887.28296,1780.4954,1630.9185,1690.3429,1030.2833,2158.8704,1950.4105,0.76:0.56:0.69:0.86:0.68:0.67:1.35:1.24:1.28:0.78:1.64:1.48,886.9856,972.4769,1700.5856,1713.1881,0.67:0.74:1.29:1.30,43001,"Serine protease 23 OS=Homo sapiens OX=9606 GN=PRSS23 PE=1 SV=1"
275,true,"P13645|K1C10_HUMAN",19.70,8.05,4,3,"Oxidation (M)",2989.8506,2094.3787,6387.5776,2771.968,3573.8132,4382.13,3329.8845,2967.2998,2354.441,8619.71,8408.698,9216.428,0.63:0.44:1.34:0.58:0.75:0.92:0.70:0.62:0.49:1.81:1.77:1.94,5085.443,3575.9702,3906.3481,8748.278,0.95:0.67:0.73:1.64,58827,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6"
12,true,"P02671|FIBA_HUMAN",106.19,56.47,74,74,"Carbamidomethylation; Oxidation (M)",23387.852,30433.307,25858.727,1214493.1,1207879.0,1111331.8,709876.6,747896.0,616078.3,24560.12,27349.557,26875.953,0.05:0.06:0.05:2.53:2.51:2.31:1.48:1.56:1.28:0.05:0.06:0.06,27686.916,1177901.2,691283.6,26261.875,0.06:2.45:1.44:0.05,94973,"Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2"
602,true,"P26440|IVD_HUMAN",13.38,3.05,1,1,"Carbamidomethylation",1135.2886,1375.1456,737.08105,1398.3307,1672.7081,1509.6139,1341.168,2890.9724,2106.4282,1761.1719,2319.2124,2082.3633,0.67:0.81:0.44:0.83:0.99:0.89:0.79:1.71:1.24:1.04:1.37:1.23,1082.5051,1526.8843,2112.8562,2054.2493,0.64:0.90:1.25:1.21,46651,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2"
4,false,"Q6Y2X3|DJC14_HUMAN",1.62,1.00,1,1,"Oxidation (M)",0.0,452.29953,22400.979,1455.1636,25151.146,16781.406,1752.9901,26575.244,24383.607,15960.064,21338.645,18227.98,0.00:0.03:1.54:0.10:1.73:1.15:0.12:1.83:1.68:1.10:1.47:1.25,11426.639,14462.572,17570.613,18508.896,0.74:0.93:1.13:1.19,78569,"DnaJ homolog subfamily C member 14 OS=Homo sapiens OX=9606 GN=DNAJC14 PE=2 SV=2"
1303,true,"Q9BRD0|BUD13_HUMAN",1.05,1.62,1,1,"",2811.9849,0.0,6259.911,1853.5604,8546.631,1681.8604,2561.9226,5042.7593,12870.261,2391.3782,4335.7715,5665.3623,0.62:0.00:1.39:0.41:1.90:0.37:0.57:1.12:2.86:0.53:0.96:1.26,4535.948,4027.3506,6824.981,4130.8374,0.93:0.83:1.40:0.85,70521,"BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1"
1614,true,"Q7Z6E9|RBBP6_HUMAN",12.08,0.61,1,1,"",0.0,0.0,608.3285,590.13696,700.95325,731.48,1740.6841,574.3427,0.0,727.4628,1758.6519,1091.2914,0.00:0.00:0.86:0.83:0.99:1.03:2.45:0.81:0.00:1.02:2.48:1.54,608.3285,674.19006,1157.5134,1192.4688,0.67:0.74:1.27:1.31,201564,"E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens OX=9606 GN=RBBP6 PE=1 SV=1"
435,true,"Q86WS5|TMPSC_HUMAN",58.88,3.45,1,1,"Carbamidomethylation",1127.9731,1005.3023,784.68713,1851.5149,1785.4807,1759.9209,3981.4854,4977.962,4845.87,3673.645,4017.6191,3216.466,0.41:0.37:0.29:0.67:0.65:0.64:1.45:1.81:1.76:1.33:1.46:1.17,972.6542,1798.9722,4601.7725,3635.9102,0.35:0.65:1.67:1.32,38605,"Transmembrane protease serine 12 OS=Homo sapiens OX=9606 GN=TMPRSS12 PE=1 SV=2"
45,true,"P01834|IGKC_HUMAN",68.29,17.76,60,2,"",4635.0967,5661.9663,4668.675,162847.4,168340.16,163209.84,35542.336,48010.332,37351.516,8956.268,6455.328,4062.5583,0.09:0.10:0.09:3.01:3.11:3.01:0.66:0.89:0.69:0.17:0.12:0.08,4988.579,164799.14,40301.395,6491.385,0.09:3.04:0.74:0.12,11765,"Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2"
2134,true,"Q96BD0|SO4A1_HUMAN",2.34,4.16,1,1,"",2069.524,15986.099,26411.83,12524.197,12666.656,12772.67,5669.6343,4854.2075,2584.6487,31263.016,1923.9506,15460.886,0.17:1.33:2.20:1.04:1.05:1.06:0.47:0.40:0.22:2.60:0.16:1.29,14822.484,12654.508,4369.497,16215.95,1.23:1.05:0.36:1.35,77193,"Solute carrier organic anion transporter family member 4A1 OS=Homo sapiens OX=9606 GN=SLCO4A1 PE=1 SV=2"
86,true,"P02760|AMBP_HUMAN",9.29,55.40,21,21,"Carbamidomethylation; Oxidation (M)",166158.62,236371.28,359436.7,327682.2,298232.56,388181.97,223217.83,267148.72,280333.47,319023.8,405549.75,408252.7,0.54:0.77:1.17:1.07:0.97:1.27:0.73:0.87:0.91:1.04:1.32:1.33,253988.88,338032.25,256900.02,377608.75,0.83:1.10:0.84:1.23,38999,"Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1"
